Px,  Py,              theta1,                        theta4
5.01,    5.03,                166.975578206224,                        63.4473916511404
5.21,    5.03,                164.658831474534,                        60.9834830785405
5.41,    5.03,                162.277217050192,                        58.4963726575359
5.61,    5.03,                159.83856239669,                     55.9862956846467
5.81,    5.03,                157.350911617201,                        53.4539610844042
6.01,    5.03,                154.822364981268,                        50.9005970541395
6.21,    5.03,                152.260922134213,                        48.3279961749671
6.41,    5.03,                149.674336013673,                        45.7385576424259
6.61,    5.03,                147.069983287135,                        43.135323843419
6.81,    5.03,                144.454755543436,                        40.5220081374681
7.01,    5.03,                141.834973727043,                        37.9030104519666
7.21,    5.03,                139.21632659538,                     35.2834172435628
7.41,    5.03,                136.603832468327,                        32.6689825822189
7.61,    5.03,                134.001822333702,                        30.0660876414557
7.81,    5.03,                131.413941523707,                        27.4816767634607
8.01,    5.03,                128.843166684816,                        24.9231695068809
8.21,    5.03,                126.291834588323,                        22.398349621817
8.41,    5.03,                123.761679408674,                        19.9152336167194
8.61,    5.03,                121.253875360178,                        17.4819233190464
8.81,    5.03,                118.769081959704,                        15.1064483845917
9.01,    5.03,                116.307489612694,                        12.7966058731899
9.01,    5.23,                116.056093954059,                        14.6118949244692
9.01,    5.43,                115.734798563462,                        16.3949679385389
9.01,    5.63,                115.345870103002,                        18.151821133234
9.01,    5.83,                114.891186790675,                        19.8878096104099
9.01,    6.03,                114.372235316114,                        21.6077841736978
9.01,    6.23,                113.790103615629,                        23.3162043839374
9.01,    6.43,                113.145468141501,                        25.01723421601
9.01,    6.63,                112.438574018953,                        26.7148252651576
9.01,    6.83,                111.66920608513,                     28.4127915060581
9.01,    7.03,                110.836648189571,                        30.114879016377
9.01,    7.23,                109.93962721093,                     31.8248337709899
9.01,    7.43,                108.976236857415,                        33.5464705650098
9.01,    7.63,                107.943834216974,                        35.2837463395682
9.01,    7.83,                106.838898783842,                        37.0408417088379
9.01,    8.03,                105.656838576909,                        38.822255415476
9.01,    8.23,                104.391719669267,                        40.6329179459494
9.01,    8.43,                103.035881524765,                        42.4783329125033
9.01,    8.63,                101.57937623572,                     44.3647585646378
9.01,    8.83,                100.009125337293,                        46.2994478271319
9.01,    9.03,                98.3076020961194,                        48.2909752024677
8.81,    9.03,                100.340525516948,                        49.5799589207988
8.61,    9.03,                102.327654613094,                        50.9125590851523
8.41,    9.03,                104.271992368852,                        52.2875879003731
8.21,    9.03,                106.175860194271,                        53.7039078368244
8.01,    9.03,                108.041019771792,                        55.1604426519717
7.81,    9.03,                109.868766405729,                        56.6561898530983
7.61,    9.03,                111.660001995597,                        58.1902346218842
7.41,    9.03,                113.41529320304,                     59.7617652800805
7.21,    9.03,                115.134918706784,                        61.3700904496414
7.01,    9.03,                116.818908312139,                        63.0146581552651
6.81,    9.03,                118.467075904523,                        64.695077239031
6.61,    9.03,                120.079047689311,                        66.4111416151582
6.41,    9.03,                121.654286767152,                        68.1628581016422
6.21,    9.03,                123.192114805864,                        69.9504788450028
6.01,    9.03,                124.691731355257,                        71.7745397351918
5.81,    9.03,                126.152231188581,                        73.6359067365842
5.61,    9.03,                127.572619929363,                        75.535832810555
5.41,    9.03,                128.951828125441,                        77.4760291906778
5.21,    9.03,                130.288723856072,                        79.4587563801634
5.01,    9.03,                131.582123898106,                        81.4869426844553
5.01,    8.83,                133.570776963314,                        79.7871760720096
5.01,    8.63,                135.502458691748,                        78.2178243559607
5.01,    8.43,                137.385734103776,                        76.761551470797
5.01,    8.23,                139.227845720354,                        75.4054084141551
5.01,    8.03,                141.035040350666,                        74.139538357862
5.01,    7.83,                142.812808997774,                        72.9563467242399
5.01,    7.63,                144.566068216901,                        71.8499485340171
5.01,    7.43000000000001,                146.299301319466,                        70.8157889233711
5.01,    7.23000000000001,                148.016671780942,                        69.8503761129583
5.01,    7.03000000000001,                149.722117453415,                        68.9510898935862
5.01,    6.83000000000001,                151.419431807055,                        68.1160423409633
5.01,    6.63000000000001,                153.11233691866,                     67.343975615226
5.01,    6.43000000000001,                154.804551994505,                        66.6341867241045
5.01,    6.23000000000001,                156.499860687311,                        65.9864723157018
5.01,    6.03000000000001,                158.20218024757,                     65.4010886363834
5.01,    5.83000000000001,                159.915635592602,                        64.8787231566259
5.01,    5.63000000000001,                161.644641675793,                        64.4204752796953
5.01,    5.43000000000001,                163.393998121356,                        64.02784415464
5.01,    5.23000000000001,                165.16900102318,                     63.7027220086151
5.01,    5.03000000000001,                166.975578206226,                        63.4473916511427
